Date,Open,High,Low,Close,Adj Close,Volume,Ticker
1980-12-12,0.1283479929,0.1289059967,0.1283479929,0.1283479929,0.09905773401,469033600,AAPL
1980-12-15,0.1222100034,0.1222100034,0.1216519997,0.1216519997,0.0938898325,175884800,AAPL
1980-12-16,0.1132809967,0.1132809967,0.1127230003,0.1127230003,0.08699855208,105728000,AAPL
1980-12-17,0.1155129969,0.1160710007,0.1155129969,0.1155129969,0.08915181458,86441600,AAPL
1980-12-18,0.1188620031,0.1194199994,0.1188620031,0.1188620031,0.0917365551,73449600,AAPL
1980-12-19,0.1261159927,0.1266739964,0.1261159927,0.1261159927,0.09733510017,48630400,AAPL
1980-12-22,0.1322540045,0.1328130066,0.1322540045,0.1322540045,0.1020723581,37363200,AAPL
1980-12-23,0.137834996,0.1383929998,0.137834996,0.137834996,0.1063797399,46950400,AAPL
1980-12-24,0.1450890005,0.1456470042,0.1450890005,0.1450890005,0.111978285,48003200,AAPL
1980-12-26,0.1584820002,0.159040004,0.1584820002,0.1584820002,0.1223148182,55574400,AAPL
1980-12-29,0.1607140005,0.1612720042,0.1607140005,0.1607140005,0.1240375116,93161600,AAPL
1980-12-30,0.1573659927,0.1573659927,0.1568080038,0.1568080038,0.1210228875,68880000,AAPL
1980-12-31,0.1529020071,0.1529020071,0.1523440033,0.1523440033,0.1175776273,35750400,AAPL
1981-01-02,0.1540179998,0.1551340073,0.1540179998,0.1540179998,0.1188695803,21660800,AAPL
1981-01-05,0.1512279958,0.1512279958,0.1506700069,0.1506700069,0.1162855998,35728000,AAPL
1981-01-06,0.1445309967,0.1445309967,0.1439729929,0.1439729929,0.1111169532,45158400,AAPL
1981-01-07,0.1383929998,0.1383929998,0.137834996,0.137834996,0.1063797399,55686400,AAPL
1981-01-08,0.1356029958,0.1356029958,0.1350450069,0.1350450069,0.1042264104,39827200,AAPL
1981-01-09,0.1422989964,0.1428570002,0.1422989964,0.1422989964,0.1098249629,21504000,AAPL
1981-01-12,0.1422989964,0.1422989964,0.1411830038,0.1411830038,0.1089636534,23699200,AAPL
1981-01-13,0.1367190033,0.1367190033,0.1361609995,0.1361609995,0.1050877348,23049600,AAPL
1981-01-14,0.1367190033,0.1372770071,0.1367190033,0.1367190033,0.105518356,14291200,AAPL
1981-01-15,0.1395090073,0.140625,0.1395090073,0.1395090073,0.1076717302,14067200,AAPL
1981-01-16,0.1389510036,0.1389510036,0.1383929998,0.1383929998,0.106810376,13395200,AAPL
1981-01-19,0.1467629969,0.1473210007,0.1467629969,0.1467629969,0.113270238,41574400,AAPL
1981-01-20,0.1428570002,0.1428570002,0.1422989964,0.1422989964,0.1098249629,30083200,AAPL
1981-01-21,0.1450890005,0.1462049931,0.1450890005,0.1450890005,0.111978285,15904000,AAPL
1981-01-22,0.1467629969,0.1478790045,0.1467629969,0.1467629969,0.113270238,35548800,AAPL
1981-01-23,0.1467629969,0.1473210007,0.1462049931,0.1462049931,0.1128396019,11222400,AAPL
1981-01-26,0.1445309967,0.1445309967,0.1439729929,0.1439729929,0.1111169532,24640000,AAPL
1981-01-27,0.1439729929,0.1439729929,0.1428570002,0.1428570002,0.1102556363,23699200,AAPL
1981-01-28,0.1389510036,0.1389510036,0.1383929998,0.1383929998,0.106810376,28156800,AAPL
1981-01-29,0.1339289993,0.1339289993,0.1333709955,0.1333709955,0.1029344201,43904000,AAPL
1981-01-30,0.1272320002,0.1272320002,0.1261159927,0.1261159927,0.09733510017,46188800,AAPL
1981-02-02,0.1194199994,0.1194199994,0.1188620031,0.1188620031,0.0917365551,23766400,AAPL
1981-02-03,0.1233260036,0.1238839999,0.1233260036,0.1233260036,0.09518182278,19152000,AAPL
1981-02-04,0.127790004,0.1283479929,0.127790004,0.127790004,0.0986270979,27865600,AAPL
1981-02-05,0.127790004,0.1289059967,0.127790004,0.127790004,0.0986270979,7929600,AAPL
1981-02-06,0.1283479929,0.1289059967,0.1283479929,0.1283479929,0.09905773401,13865600,AAPL
1981-02-09,0.1227679998,0.1227679998,0.1216519997,0.1216519997,0.0938898325,16755200,AAPL
1981-02-10,0.1216519997,0.1222100034,0.1216519997,0.1216519997,0.0938898325,18345600,AAPL
1981-02-11,0.1183039993,0.1183039993,0.117746003,0.117746003,0.09087521583,13843200,AAPL
1981-02-12,0.1171879992,0.1171879992,0.116628997,0.116628997,0.0900131166,14560000,AAPL
1981-02-13,0.1149550006,0.1149550006,0.1138390005,0.1138390005,0.08785984665,11155200,AAPL
1981-02-17,0.116628997,0.1171879992,0.116628997,0.116628997,0.0900131166,12275200,AAPL
1981-02-18,0.1216519997,0.1227679998,0.1216519997,0.1216519997,0.0938898325,19241600,AAPL
1981-02-19,0.1149550006,0.1149550006,0.1143969968,0.1143969968,0.08829052001,22310400,AAPL
1981-02-20,0.1088170037,0.1088170037,0.1082589999,0.1082589999,0.0835532546,24371200,AAPL
1981-02-23,0.1099329963,0.1104910001,0.1099329963,0.1099329963,0.08484522253,14112000,AAPL
1981-02-24,0.1071429998,0.1071429998,0.1060269997,0.1060269997,0.08183061332,16979200,AAPL
1981-02-25,0.1127230003,0.1132809967,0.1127230003,0.1127230003,0.08699855208,19488000,AAPL
1981-02-26,0.1143969968,0.1149550006,0.1143969968,0.1143969968,0.08829052001,10841600,AAPL
1981-02-27,0.1183039993,0.1194199994,0.1183039993,0.1183039993,0.09130588174,14761600,AAPL
1981-03-02,0.1188620031,0.1194199994,0.1188620031,0.1188620031,0.0917365551,11760000,AAPL
1981-03-03,0.117746003,0.117746003,0.1171879992,0.1171879992,0.09044457227,16172800,AAPL
1981-03-04,0.116628997,0.116628997,0.1160710007,0.1160710007,0.08958248049,13708800,AAPL
1981-03-05,0.1160710007,0.1160710007,0.1155129969,0.1155129969,0.08915181458,5376000,AAPL
1981-03-06,0.1155129969,0.1155129969,0.1143969968,0.1143969968,0.08829052001,11603200,AAPL
1981-03-09,0.1060269997,0.1060269997,0.1054690033,0.1054690033,0.08139995486,15321600,AAPL
1981-03-10,0.101003997,0.101003997,0.1004460007,0.1004460007,0.07752326131,28380800,AAPL
1981-03-11,0.09765599668,0.09765599668,0.09653999656,0.09653999656,0.07450865209,29859200,AAPL
1981-03-12,0.1004460007,0.101003997,0.1004460007,0.1004460007,0.07752326131,59248000,AAPL
1981-03-13,0.09988799691,0.09988799691,0.09933000058,0.09933000058,0.07666191459,231302400,AAPL
1981-03-16,0.1032370031,0.1043530032,0.1032370031,0.1032370031,0.07967731357,37228800,AAPL
1981-03-17,0.1082589999,0.109375,0.1082589999,0.1082589999,0.0835532546,43747200,AAPL
1981-03-18,0.1149550006,0.1160710007,0.1149550006,0.1149550006,0.08872111887,36937600,AAPL
