Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.96875,43.96875,43.75,43.9375,24.684097290039062,1003200
1993-02-01,43.96875,44.25,43.96875,44.25,24.859657287597656,480500
1993-02-02,44.21875,44.375,44.125,44.34375,24.912338256835938,201300
1993-02-03,44.40625,44.84375,44.375,44.8125,25.17568588256836,529400
1993-02-04,44.96875,45.09375,44.46875,45.0,25.2810115814209,531500
1993-02-05,44.96875,45.0625,44.71875,44.96875,25.263471603393555,492100
1993-02-08,44.96875,45.125,44.90625,44.96875,25.263471603393555,596100
1993-02-09,44.8125,44.8125,44.5625,44.65625,25.087902069091797,122100
1993-02-10,44.65625,44.75,44.53125,44.71875,25.12300682067871,379600
1993-02-11,44.78125,45.125,44.78125,44.9375,25.245899200439453,19500
1993-02-12,44.875,44.875,44.59375,44.59375,25.052776336669922,42500
1993-02-16,44.46875,44.46875,43.40625,43.46875,24.420761108398438,374800
1993-02-17,43.46875,43.53125,43.28125,43.4375,24.403200149536133,210900
1993-02-18,43.9375,43.9375,42.8125,43.40625,24.385648727416992,378100
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.473432540893555,34900
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.561208724975586,513600
1993-02-23,43.84375,43.875,43.46875,43.6875,24.543649673461914,373700
1993-02-24,43.71875,44.25,43.71875,44.25,24.859657287597656,26300
1993-02-25,44.21875,44.375,44.125,44.34375,24.912338256835938,44500
1993-02-26,44.4375,44.4375,44.1875,44.40625,24.94744873046875,66200
1993-03-01,44.5625,44.5625,44.21875,44.28125,24.877229690551758,66500
1993-03-02,44.3125,44.9375,44.25,44.9375,25.245899200439453,182400
1993-03-03,45.0,45.15625,44.9375,45.125,25.35124397277832,280100
1993-03-04,45.1875,45.1875,44.875,44.875,25.210784912109375,89500
1993-03-05,44.9375,45.125,44.71875,44.75,25.14057159423828,40000
1993-03-08,44.84375,45.75,44.84375,45.75,25.702360153198242,50800
1993-03-09,45.65625,45.6875,45.5,45.59375,25.614593505859375,169300
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.66725730895996,194400
1993-03-11,45.71875,45.84375,45.5,45.5625,25.59703826904297,70900
